Z=0.020000 Y=0.275000 OS=0.000000 l/Hp=0.000000 [Fe/H]= 0.000000 [Alpha/Fe]= 0.000000
  M/Msun     logT  logL/Ls   logg    Mv     U-B    B-V    V-R    V-I    V-J    V-H    V-K    V-L    V-M     #(x=-1)    #(x=1.35)    #(x=3)
age(Gyr)= 0.002500  21 points
 0.130000  3.497251  0.000000  4.054612  11.142687  0.000000  0.000000  1.100522  2.641045  4.355236  5.028771  5.355194  0.000000  0.000000  0.000000  0.000000  0.000000
 0.150000  3.502075  0.000000  4.052962  10.865385  0.000000  0.000000  1.080385  2.601154  4.281734  4.965589  5.281692  0.000000  0.000000  0.000000  0.000000  0.000000
 0.175000  3.506745  0.000000  4.050794  10.588095  0.000000  0.000000  1.060159  2.570317  4.229620  4.913579  5.218707  0.000000  0.000000  0.000000  0.000000  0.000000
 0.200000  3.510056  0.000000  4.047962  10.373538  0.000000  0.000000  1.060000  2.551077  4.179417  4.863371  5.168329  0.000000  0.000000  0.000000  0.000000  0.000000
 0.250000  3.517439  0.000000  4.047764  9.966220  0.000000  0.000000  1.030315  2.500630  4.082449  4.776493  5.060663  0.000000  0.000000  0.000000  0.000000  0.000000
 0.300000  3.524270  0.000000  4.047829  9.635659  0.000000  0.000000  1.000310  2.460310  4.003930  4.708702  4.981796  0.000000  0.000000  0.000000  0.000000  0.000000
 0.350000  3.531360  0.000000  4.049395  9.326744  0.000000  0.000000  0.980000  2.410465  3.917651  4.643721  4.895517  0.000000  0.000000  0.000000  0.000000  0.000000
 0.400000  3.538331  0.000000  4.049174  9.050870  0.000000  0.000000  0.960000  2.371304  3.833849  4.570451  4.811715  0.000000  0.000000  0.000000  0.000000  0.000000
 0.450000  3.544030  0.000000  4.048786  8.812672  0.000000  0.000000  0.940000  2.331832  3.767383  4.525133  4.755621  0.000000  0.000000  0.000000  0.000000  0.000000
 0.500000  3.549843  0.000000  4.049943  8.588374  0.000000  0.000000  0.920000  2.300325  3.721617  4.490945  4.699663  0.000000  0.000000  0.000000  0.000000  0.000000
 0.570000  3.555998  0.000000  4.050368  8.324211  0.000000  0.000000  0.900000  2.251579  3.640234  4.430066  4.618100  0.000000  0.000000  0.000000  0.000000  0.000000
 0.600000  3.558860  0.000000  4.051316  8.205263  0.000000  0.000000  0.880526  2.222105  3.597602  4.398732  4.575468  0.000000  0.000000  0.000000  0.000000  0.000000
 0.700000  3.567188  0.000000  4.054866  7.865522  0.000000  0.000000  0.850000  2.151343  3.482194  4.283588  4.449508  0.000000  0.000000  0.000000  0.000000  0.000000
 0.800000  3.575598  0.000000  4.056928  7.524203  0.000000  0.000000  0.820725  2.072899  3.337643  4.138733  4.294218  0.000000  0.000000  0.000000  0.000000  0.000000
 0.900000  3.584057  0.000000  4.066089  7.205852  0.000000  0.000000  0.790000  1.982370  3.195647  3.996123  4.130638  0.000000  0.000000  0.000000  0.000000  0.000000
 1.000000  3.594185  0.000000  4.063141  6.810000  0.000000  0.000000  0.779531  1.863281  2.993913  3.772997  3.896010  0.000000  0.000000  0.000000  0.000000  0.000000

age(Gyr)= 0.008000  21 points
 0.075000  3.478278  0.000000  4.137000  12.400000  0.000000  0.000000  1.170000  2.790000  4.672060  5.346223  5.694110  0.000000  0.000000  0.000000  0.000000  0.000000
 0.080000  3.480867  0.000000  4.139166  12.272701  0.000000  0.000000  1.159858  2.779858  4.543069  5.217076  5.564963  0.000000  0.000000  0.000000  0.000000  0.000000
 0.090000  3.485430  0.000000  4.140491  12.026766  0.000000  0.000000  1.140000  2.730180  4.533350  5.207007  5.544354  0.000000  0.000000  0.000000  0.000000  0.000000
 0.100000  3.489265  0.000000  4.140145  11.812319  0.000000  0.000000  1.129855  2.699710  4.324790  4.998639  5.335794  0.000000  0.000000  0.000000  0.000000  0.000000
 0.110000  3.492474  0.000000  4.139527  11.626805  0.000000  0.000000  1.120000  2.670178  4.415148  5.088689  5.415303  0.000000  0.000000  0.000000  0.000000  0.000000
 0.130000  3.497754  0.000000  4.137042  11.317939  0.000000  0.000000  1.100000  2.630121  4.339193  5.023331  5.339151  0.000000  0.000000  0.000000  0.000000  0.000000
 0.150000  3.502820  0.000000  4.134107  11.026213  0.000000  0.000000  1.070237  2.580473  4.245521  4.929789  5.245479  0.000000  0.000000  0.000000  0.000000  0.000000
 0.175000  3.507439  0.000000  4.129614  10.747193  0.000000  0.000000  1.060000  2.550351  4.188348  4.872308  5.177454  0.000000  0.000000  0.000000  0.000000  0.000000
 0.200000  3.511053  0.000000  4.125738  10.515833  0.000000  0.000000  1.050298  2.530595  4.146172  4.829822  5.124367  0.000000  0.000000  0.000000  0.000000  0.000000
 0.250000  3.518008  0.000000  4.122705  10.113182  0.000000  0.000000  1.020000  2.479545  3.752182  4.435815  4.729797  0.000000  0.000000  0.000000  0.000000  0.000000
 0.300000  3.524138  0.000000  4.121335  9.790660  0.000000  0.000000  1.000000  2.439953  3.558854  4.242231  4.525674  0.000000  0.000000  0.000000  0.000000  0.000000
