Z=0.018120 Y=0.266240 OS=0.20 l/Hp=1.743201 [Fe/H]=    0.000 [Alpha/Fe]= 0.00
  M/Msun     logT  logL/Ls   logg    Mv     U-B    B-V    V-R    V-I    V-J    V-H    V-K    V-L    V-M     #(x=-1)    #(x=1.35)    #(x=3)
 2.6095086  4.0264  1.6742  4.2376  0.945 -0.153 -0.057 -0.023 -0.026 -0.095 -0.106 -0.100 -0.130 -0.145  1.0666E+02  4.8795E+00  4.9310E-01
 2.6627306  4.0466  1.7344  4.2671  0.905 -0.230 -0.080 -0.032 -0.048 -0.144 -0.165 -0.164 -0.194 -0.226  1.7742E+02  7.6221E+00  7.3712E-01
 2.7869266  4.0662  1.7892  4.3107  0.872 -0.289 -0.096 -0.042 -0.069 -0.186 -0.217 -0.214 -0.249 -0.293  2.9088E+02  1.1308E+01  1.0200E+00
 2.9536137  4.0847  1.8761  4.3229  0.757 -0.345 -0.112 -0.051 -0.087 -0.217 -0.250 -0.252 -0.290 -0.341  3.5654E+02  1.2148E+01  9.9906E-01
 3.1434624  4.1017  1.9694  4.3246  0.617 -0.392 -0.123 -0.057 -0.101 -0.244 -0.278 -0.284 -0.322 -0.382  3.7905E+02  1.1209E+01  8.3458E-01
 3.3326670  4.1180  2.0636  4.3212  0.478 -0.439 -0.135 -0.063 -0.113 -0.270 -0.310 -0.320 -0.357 -0.428  3.7891E+02  9.7638E+00  6.5989E-01
 3.5223754  4.1339  2.1547  4.3176  0.350 -0.486 -0.146 -0.067 -0.124 -0.294 -0.344 -0.354 -0.391 -0.473  3.8988E+02  8.8058E+00  5.4250E-01
 3.7225507  4.1493  2.2441  4.3135  0.223 -0.525 -0.156 -0.071 -0.134 -0.318 -0.374 -0.384 -0.421 -0.512  4.0343E+02  8.0116E+00  4.5092E-01
 3.9258052  4.1641  2.3313  4.3091  0.095 -0.560 -0.165 -0.076 -0.144 -0.341 -0.402 -0.412 -0.450 -0.548  4.1791E+02  7.3153E+00  3.7681E-01
 4.1404608  4.1786  2.4167  4.3043 -0.032 -0.590 -0.173 -0.080 -0.153 -0.366 -0.430 -0.443 -0.480 -0.585  4.3815E+02  6.7706E+00  3.1953E-01
 4.3639537  4.1925  2.5010  4.2984 -0.159 -0.618 -0.180 -0.084 -0.162 -0.393 -0.463 -0.477 -0.517 -0.630  4.5405E+02  6.2026E+00  2.6844E-01
 4.5945098  4.2059  2.5830  4.2925 -0.283 -0.644 -0.187 -0.088 -0.170 -0.418 -0.493 -0.509 -0.551 -0.672  4.6533E+02  5.6344E+00  2.2404E-01
 4.8292868  4.2190  2.6622  4.2874 -0.401 -0.667 -0.193 -0.091 -0.177 -0.440 -0.520 -0.539 -0.583 -0.711  6.4713E+02  6.8293E+00  2.4669E-01
 5.2416384  4.3721  2.8324  4.4213 -0.544 -0.713 -0.206 -0.098 -0.190 -0.474 -0.560 -0.582 -0.630 -0.769 -4.0782E+03 -7.3923E+01 -4.1914E+00
 0.7510780  0.6198  0.4064  0.6304 -0.073 -0.104 -0.030 -0.014 -0.028 -0.069 -0.082 -0.085 -0.092 -0.113 -4.4535E+03 -7.7253E+02 -3.0807E+02
 0.7881685  0.6215  0.4172  0.6295 -0.090 -0.107 -0.030 -0.015 -0.029 -0.070 -0.083 -0.087 -0.094 -0.115  3.7091E+01  2.9079E+01  2.1604E+01

age(Gyr)= 0.006  37 points
 0.4000000  3.5439 -0.9370  4.1046  8.715  1.097  1.456  0.970  2.102  3.302  4.004  4.179  4.312  5.069  7.4542E+01  2.5202E+02  5.2351E+02
 0.4745424  3.5714 -0.8107  4.1605  8.108  1.274  1.436  0.906  1.860  2.956  3.696  3.833  3.941  4.678  1.6805E+02  4.1654E+02  7.0019E+02
 0.5680483  3.5975 -0.6607  4.1936  7.422  1.360  1.381  0.847  1.651  2.565  3.292  3.405  3.512  4.188  2.3589E+02  3.7438E+02  4.6154E+02
 0.7104310  3.6217 -0.4818  4.2095  6.721  1.300  1.296  0.754  1.419  2.276  2.943  3.044  3.140  3.729  3.6437E+02  3.3918E+02  2.8915E+02
 0.9324199  3.6437 -0.2794  4.2134  6.058  1.171  1.211  0.672  1.245  2.099  2.712  2.813  2.910  3.453  4.5211E+02  2.3553E+02  1.3345E+02
 1.1625388  3.6657 -0.0801  4.1979  5.395  1.004  1.105  0.583  1.069  1.891  2.454  2.550  2.644  3.146  4.2072E+02  1.3273E+02  5.2515E+01
